,Embedded_text,UserName
41,"JLM, à la Maison de quartier de Gennevilliers : ""Les maisons de quartiers sont des lieux d'émancipation"" http://yfrog.com/odwrtcjuj #placeaupeuple
2",@JLMelenchon
42,"Les étudiants boursiers victimes de la rigueur : http://bit.ly/z7Cj3E (cc 
@mediapart
) #placeaupeuple
1
2",@JLMelenchon
43,"Replying to 
@pourquoiaps
@pourquoiaps
 Bien vu ! Mais notez qu'il y a des différences majeures entre les programmes politiques de 
@fhollande
, 
@bayrou
 et le nôtre.
1",@JLMelenchon
44,"JLM : «Je refuse la logique politicienne du ""tout sauf Sarkozy""», à propos du désistement proposé par Eva Joly dans ses vœux #placeaupeuple
2
5",@JLMelenchon
45,"JLM: ""Hausse de la TVA, plan de rigueur de 100 milliards d'euros, refus de recréer les postes d'enseignants supprimés > Bayrou incompatible""
1
4",@JLMelenchon
46,"JLM, sur les vœux d'E. Joly: ""En proposant un accord de ""désistement réciproque"" entre Bayrou, Hollande, elle et nous, E. Joly s'égare.""
5
5",@JLMelenchon
47,"En Espagne, déjà deux plans d'austérité. Il faut changer la politique européenne austéritaire : http://bit.ly/zF7p8H #placeaupeuple
2",@JLMelenchon
48,"L'économie sociale et solidaire, c'est quoi ? > http://bit.ly/y45s7i #placeaupeuple #Chequedejeuners
3
1",@JLMelenchon
49,"[VIDEO] Marine Le Pen amène le pire, un dessin pour mieux comprendre ses iniques desseins : http://dai.ly/zBqsG2 #placeaupeuple (cc 
@cnpcf
)
6
1",@JLMelenchon
50,"RT 
@koitadoitrester
 : ""Un prof de maths de Gennevilliers menacé d'expulsion"" - RTL.fr #solidarite http://rtl.fr/actualites/art…
2",@JLMelenchon
51,"Jean-Luc Melenchon en visite à la SCOP Cheque Dejeuner, aujourd'hui http://yfrog.com/hsgnxwuj #placeaupeuple
1
4",@JLMelenchon
52,"[GROOVE de la campagne] : Le président, il nous ment : http://bit.ly/zSiiGf #placeaupeuple
1
1",@JLMelenchon
53,"Replying to 
@ThierryLabro
@ThierryLabro
 Les plus bas salaires seront évidemment les plus touchés.",@JLMelenchon
54,"2012 : «l'Année du chamboule-tout» Retrouvez les vœux de Jean-Luc Mélenchon à la presse, hier [VIDEO] http://bit.ly/wkvjoy #placeaupeuple
1",@JLMelenchon
55,"8 points pour comprendre pourquoi la TVA « sociale » est une politique d'aggravation des inégalités : http://bit.ly/wEcfWi #placeaupeuple
4
10
2",@JLMelenchon
56,"Replying to 
@GuerreiroSamuel
@GuerreiroSamuel
 Notre ""business plan"" : la planification écologique.",@JLMelenchon
57,"Replying to 
@Parite2015
@Parite2015
 Elle contenue dans chacun des mots de cette devise universelle.",@JLMelenchon
58,"[FICHE] Comment organiser une «Écoute collective» ? http://bit.ly/wYMpWV Prenez-le débat ! #placeaupeuple
1
4
1",@JLMelenchon
59,"[ZAPPING] Les vrais vœux des politiques : http://dai.ly/yfppGy #placeaupeuple
7",@JLMelenchon
60,"Replying to 
@PierreKopylov
@PierreKopylov
 Pas fait l'ENA non. Renseignez-vous.
1",@JLMelenchon
61,"Pour en finir avec la monarchie républicaine http://bit.ly/y7PpeY #placeaupeuple
3
5
2",@JLMelenchon
62,"@canalplusfr
 J. L. Mélenchon et E. Joly se sont bien salués avant-hier, lors du déplacement à Amiens, cher #petitjournal #politesse #montage
1",@JLMelenchon
63,"Suivez 
@alexiscorbiere
 en direct sur RMC : http://bit.ly/womarX #placeaupeuple
2",@JLMelenchon
64,"#FF @Cherrii64, notre 10 000ème follower ! À bientôt !
1
2",@JLMelenchon
65,"En mémoire à José Montéro. Nouvel épisode de la web série http://dailymotion.com/video/xnjkqb_ep-7-en-marche-en-memoire-de-jose-montero_news#from=embediframe… Please RT #placeaupeuple
4
1",@JLMelenchon
