,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
731,Emmanuel Macron,@EmmanuelMacron,2021-10-08T10:22:54.000Z,"Emmanuel Macron
@EmmanuelMacron
·
Oct 8
Officiel du gouvernement - France","Fin octobre, les 26 œuvres du Trésor d’Abomey reviendront dans leur pays. Elles seront la fierté du Bénin. Et parce que restituer des œuvres à l'Afrique, c'est rendre accessible à la jeunesse africaine sa culture, ces restitutions seront aussi la fierté de la France.
552
818
3.2K",,552,818,3.2K,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FBK4E_CX0AA7dcB?format=jpg&name=small']",https://twitter.com/EmmanuelMacron/status/1446420833476530196
732,Emmanuel Macron,@EmmanuelMacron,2021-10-08T06:49:00.000Z,"Emmanuel Macron
@EmmanuelMacron
·
Oct 8
Officiel du gouvernement - France","L’avenir de l’Afrique et de la France appartient aux jeunes générations. De Ouagadougou à Montpellier, leurs voix portent un souffle d’espoir, une opportunité historique, celle de pouvoir écrire une nouvelle page de notre relation. Nous y sommes. Écrivons-la ensemble.
1.5K
1.1K
2.1K",,1.5K,1.1K,2.1K,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FBKH0z9XMAInzcJ.jpg']",https://twitter.com/EmmanuelMacron/status/1446367002302558214
733,Emmanuel Macron,@EmmanuelMacron,2021-10-08T06:49:00.000Z,"Emmanuel Macron
@EmmanuelMacron
·
Oct 8
Officiel du gouvernement - France","L’avenir de l’Afrique et de la France appartient aux jeunes générations. De Ouagadougou à Montpellier, leurs voix portent un souffle d’espoir, une opportunité historique, celle de pouvoir écrire une nouvelle page de notre relation. Nous y sommes. Écrivons-la ensemble.
2:21
307.6K views
1.5K
1.1K
2.1K",,1.5K,1.1K,2.1K,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/EmmanuelMacron/status/1446367002302558214
734,Emmanuel Macron,@EmmanuelMacron,2021-10-09T18:33:24.000Z,"Emmanuel Macron
@EmmanuelMacron
·
Oct 9
Officiel du gouvernement - France","Depuis 4 ans, nous œuvrons pour une juste taxation des multinationales et des géants du numérique. L’accord fiscal trouvé à l’OCDE est historique. Toute entreprise multinationale devra payer au minimum 15% d’impôt. C’est une avancée majeure pour la justice fiscale.
1.1K
1.1K
5.1K",,1.1K,1.1K,5.1K,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/EmmanuelMacron/status/1446906659754979338
735,Emmanuel Macron,@EmmanuelMacron,2021-10-09T12:08:15.000Z,"Emmanuel Macron
@EmmanuelMacron
·
Oct 9
Officiel du gouvernement - France","La France va relancer le combat pour l'abolition universelle de la peine de mort. Ce combat, nous le mènerons en Européens, encore et toujours.
2:01
328.3K views
1K
1K
3.5K",,1K,1K,3.5K,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/EmmanuelMacron/status/1446809734867308553
736,Emmanuel Macron,@EmmanuelMacron,2021-10-09T12:08:15.000Z,"Emmanuel Macron
@EmmanuelMacron
·
Oct 9
Officiel du gouvernement - France","La France va relancer le combat pour l'abolition universelle de la peine de mort. Ce combat, nous le mènerons en Européens, encore et toujours.
1:59
328.3K views
1K
1K
3.5K",,1K,1K,3.5K,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/EmmanuelMacron/status/1446809734867308553
737,Emmanuel Macron,@EmmanuelMacron,2021-10-12T15:46:40.000Z,"Emmanuel Macron
@EmmanuelMacron
·
Oct 12
Officiel du gouvernement - France","Hubert Germain, le dernier des 1038 Compagnons de la Libération, est mort. Le Mont Valérien accueillera le corps de ce résistant de la première heure, héros de Bir Hakeim et du Débarquement de Provence, qui reconquit notre liberté et reconstruisit notre patrie.
Emmanuel Macron
@EmmanuelMacron
Officiel du gouvernement - France
 · Jun 18, 2020
Je partage avec vous ces mots d'Hubert Germain, Compagnon de la Libération, avec qui j'étais ce matin. Il est de ceux qui, autour du Général de Gaulle, ont maintenu la France et porté ses libertés. Immense respect.
1:07
258.3K views
297
1.2K
5K",,297,1.2K,5K,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/profile_images/1308812357502668812/jSVlszOa_mini.jpg', 'https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig']",https://twitter.com/EmmanuelMacron/status/1447951862091718657
738,Emmanuel Macron,@EmmanuelMacron,2021-10-12T13:57:03.000Z,"Emmanuel Macron
@EmmanuelMacron
·
Oct 12
Officiel du gouvernement - France","Étudiants, chercheurs, enseignants, entrepreneurs, investisseurs, fonctionnaires, responsables politiques, chacun a un rôle à jouer pour que la France redevienne une grande nation, qui choisit son destin et qui apporte sa contribution au monde pour mieux vivre face à ses défis.
Emmanuel Macron
@EmmanuelMacron
Officiel du gouvernement - France
 · Oct 12
Le rêve est possible.
540
578
2.1K",,540,578,2.1K,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/profile_images/1308812357502668812/jSVlszOa_mini.jpg', 'https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FBfm1g3XMAECiAC.jpg']",https://twitter.com/EmmanuelMacron/status/1447924277257326608
739,Emmanuel Macron,@EmmanuelMacron,2021-10-12T13:14:00.000Z,"Emmanuel Macron
@EmmanuelMacron
·
Oct 12
Officiel du gouvernement - France","#France2030, objectif 9.
Prendre toute notre part à la nouvelle aventure spatiale.
158
364
1.3K",,158,364,1.3K,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FBf7bvEWQAUDoZE.jpg']",https://twitter.com/EmmanuelMacron/status/1447913442522767376
740,Emmanuel Macron,@EmmanuelMacron,2021-10-12T11:22:04.000Z,"Emmanuel Macron
@EmmanuelMacron
·
Oct 12
Officiel du gouvernement - France","#France2030, objectif 2.
Devenir le leader de l'hydrogène vert.
163
476
1.6K",,163,476,1.6K,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FBfpulnXsAooRYi.jpg']",https://twitter.com/EmmanuelMacron/status/1447885273145266180
741,Emmanuel Macron,@EmmanuelMacron,2021-10-12T11:13:04.000Z,"Emmanuel Macron
@EmmanuelMacron
·
Oct 12
Officiel du gouvernement - France","#France2030, objectif 1.
Réinventer le nucléaire.
378
1K
3.2K",,378,1K,3.2K,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FBfpsTsWEAYcKvS.jpg']",https://twitter.com/EmmanuelMacron/status/1447883007705104384
742,Emmanuel Macron,@EmmanuelMacron,2021-10-12T10:48:21.000Z,"Emmanuel Macron
@EmmanuelMacron
·
Oct 12
Officiel du gouvernement - France","Le rêve est possible.
1.2K
2.7K
9.3K",,1.2K,2.7K,9.3K,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FBfm1g3XMAECiAC.jpg']",https://twitter.com/EmmanuelMacron/status/1447876788626108423
743,Emmanuel Macron,@EmmanuelMacron,2021-10-12T08:29:22.000Z,"Emmanuel Macron
@EmmanuelMacron
·
Oct 12
Officiel du gouvernement - France","Aujourd’hui est le lancement d’une grande aventure. Nous préparons la #France2030.
1:37:34
130.9K viewers
Emmanuel Macron
@EmmanuelMacron
Aujourd’hui est le lancement d’une grande aventure. Nous préparons la #France2030.
557
912
2.1K",,557,912,2.1K,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/profile_images/1308812357502668812/jSVlszOa_mini.jpg']",https://twitter.com/EmmanuelMacron/status/1447841812916359169
744,Emmanuel Macron,@EmmanuelMacron,2021-10-12T06:53:58.000Z,"Emmanuel Macron
@EmmanuelMacron
·
Oct 12
Officiel du gouvernement - France","À chaque fois que l’on recrée de la biodiversité, on se protège du dérèglement climatique. Voilà le sens de nos initiatives et de mon message à la COP15 biodiversité. Mobiliser. États, secteurs public et privé, citoyens, rendez-vous en novembre à la COP26 climat.
Élysée
@Elysee
Organisation du gouvernement - France
 · Oct 12
« L’Homme ne pourra continuer à vivre sur cette planète que s’il vit avec son environnement et non plus à son détriment. » Écoutez le message du Président @EmmanuelMacron à la COP15 sur la biodiversité de Kunming :
341
418
1.4K",,341,418,1.4K,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/profile_images/1181902227490914304/X21iEaEv_mini.jpg', 'https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FBb5404XEAM_fYq.jpg']",https://twitter.com/EmmanuelMacron/status/1447817805483630595
745,Emmanuel Macron,@EmmanuelMacron,2021-10-12T08:29:22.000Z,"Emmanuel Macron
@EmmanuelMacron
·
Oct 12
Officiel du gouvernement - France","Aujourd’hui est le lancement d’une grande aventure. Nous préparons la #France2030.
Emmanuel Macron
·
130.9K viewers
0:02 / 1:37:35
Emmanuel Macron
@EmmanuelMacron
Aujourd’hui est le lancement d’une grande aventure. Nous préparons la #France2030.
557
912
2.1K",,557,912,2.1K,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/profile_images/1308812357502668812/jSVlszOa_mini.jpg', 'https://pbs.twimg.com/profile_images/1308812357502668812/jSVlszOa_mini.jpg']",https://twitter.com/EmmanuelMacron/status/1447841812916359169
746,Emmanuel Macron,@EmmanuelMacron,2021-10-12T06:53:58.000Z,"Emmanuel Macron
@EmmanuelMacron
·
Oct 12
Officiel du gouvernement - France","À chaque fois que l’on recrée de la biodiversité, on se protège du dérèglement climatique. Voilà le sens de nos initiatives et de mon message à la COP15 biodiversité. Mobiliser. États, secteurs public et privé, citoyens, rendez-vous en novembre à la COP26 climat.
Élysée
@Elysee
Organisation du gouvernement - France
 · Oct 12
« L’Homme ne pourra continuer à vivre sur cette planète que s’il vit avec son environnement et non plus à son détriment. » Écoutez le message du Président @EmmanuelMacron à la COP15 sur la biodiversité de Kunming :
6:36
105.3K views
341
418
1.4K",,341,418,1.4K,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/profile_images/1181902227490914304/X21iEaEv_mini.jpg', 'https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig']",https://twitter.com/EmmanuelMacron/status/1447817805483630595
747,Emmanuel Macron,@EmmanuelMacron,2021-10-13T17:43:32.000Z,"Emmanuel Macron
@EmmanuelMacron
·
Oct 13
Officiel du gouvernement - France","Le Tadjikistan et la France célèbrent cette année 30 ans de relations diplomatiques et de confiance. Notre coopération en matière économique, culturelle et de sécurité, en particulier dans le contexte de la crise afghane, continue de se renforcer.
346
306
2K",,346,306,2K,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FBmM4aUXIAUKTGe?format=jpg&name=small']",https://twitter.com/EmmanuelMacron/status/1448343661557784576
748,Emmanuel Macron,@EmmanuelMacron,2021-10-14T12:59:06.000Z,"Emmanuel Macron
@EmmanuelMacron
·
Oct 14
Officiel du gouvernement - France","Du sport pour tous, partout !
0:19
79K views
376
401
1.7K",,376,401,1.7K,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/EmmanuelMacron/status/1448634468684734468
749,Emmanuel Macron,@EmmanuelMacron,2021-10-14T10:35:06.000Z,"Emmanuel Macron
@EmmanuelMacron
·
Oct 14
Officiel du gouvernement - France","Du sport, du sport, du sport !
Il doit être au cœur du projet de la Nation. 5 000 nouveaux terrains et salles de sport seront déployés d'ici 2024 pour rendre plus accessible la pratique sportive.
1.6K
1.3K
9.3K",,1.6K,1.3K,9.3K,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/EmmanuelMacron/status/1448598230565113859
750,Emmanuel Macron,@EmmanuelMacron,2021-10-14T12:59:06.000Z,"Emmanuel Macron
@EmmanuelMacron
·
Oct 14
Officiel du gouvernement - France","Du sport pour tous, partout !
79K views
0:03 / 0:21
376
401
1.7K",,376,401,1.7K,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/EmmanuelMacron/status/1448634468684734468
751,Emmanuel Macron,@EmmanuelMacron,2021-10-15T16:39:40.000Z,"Emmanuel Macron
@EmmanuelMacron
·
Oct 15
Officiel du gouvernement - France","Mon Lieutenant,
Cher Hubert Germain,
Nous le ferons.
1:47
113.9K views
241
698
4.1K",,241,698,4.1K,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/EmmanuelMacron/status/1449052362690150400
752,Emmanuel Macron,@EmmanuelMacron,2021-10-15T16:39:40.000Z,"Emmanuel Macron
@EmmanuelMacron
·
Oct 15
Officiel du gouvernement - France","Mon Lieutenant,
Cher Hubert Germain,
Nous le ferons.
1:45
113.9K views
241
698
4.1K",,241,698,4.1K,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/EmmanuelMacron/status/1449052362690150400
753,Emmanuel Macron,@EmmanuelMacron,2021-10-16T17:30:40.000Z,"Emmanuel Macron
@EmmanuelMacron
·
Oct 16
Officiel du gouvernement - France","À Samuel Paty.
Nous continuerons, professeur.
0:39
161.2K views
633
1.6K
7.7K",,633,1.6K,7.7K,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/EmmanuelMacron/status/1449427585298014211
754,Emmanuel Macron,@EmmanuelMacron,2021-10-16T16:06:48.000Z,"Emmanuel Macron
@EmmanuelMacron
·
Oct 16
Officiel du gouvernement - France","La France regarde toute son Histoire avec lucidité et reconnaît les responsabilités clairement établies. Les crimes commis la nuit du 17 octobre 1961, sous l’autorité de Maurice Papon, sont inexcusables pour la République. Aux victimes, nous rendons aujourd’hui hommage.
1.6K
1.5K
5.1K",,1.6K,1.5K,5.1K,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FB1S2kZXMAguxMU.jpg']",https://twitter.com/EmmanuelMacron/status/1449406480860463110
755,Emmanuel Macron,@EmmanuelMacron,2021-10-16T13:26:36.000Z,"Emmanuel Macron
@EmmanuelMacron
·
Oct 16
Officiel du gouvernement - France","Chaque jour, des vies sont sauvées par l’action héroïque de nos sapeurs-pompiers, mais aussi par vous, avec les bons gestes. Adoptons tous ces gestes qui sauvent :
interieur.gouv.fr
Les gestes qui sauvent
Connaître les gestes qui sauvent est devenu une priorité pour de nombreux Français. Ces dernières années, et notamment à la suite des attentats, les formations et initiations se sont multipliées. En...
279
360
1.6K",,279,360,1.6K,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/card_img/1466154591595417600/CHVNXQHz?format=jpg&name=small']",https://twitter.com/EmmanuelMacron/status/1449366166753980418
756,Emmanuel Macron,@EmmanuelMacron,2021-10-16T12:39:00.000Z,"Emmanuel Macron
@EmmanuelMacron
·
Oct 16
Officiel du gouvernement - France","Je crois en l’engagement. En ces 197 000 Françaises et Français qui, librement, prennent sur leur temps familial, sur le temps libre, sacrifient un peu de leur carrière, pour sauver la vie des autres. Nous reconnaîtrons mieux les sapeurs-pompiers volontaires :
238
381
1.6K",,238,381,1.6K,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/amplify_video_thumb/1449338935193264132/img/sVx98TWUCgXnsHFT.jpg']",https://twitter.com/EmmanuelMacron/status/1449354185930117120
757,Emmanuel Macron,@EmmanuelMacron,2021-10-16T12:23:14.000Z,"Emmanuel Macron
@EmmanuelMacron
·
Oct 16
Officiel du gouvernement - France","Permettre aux sapeurs-pompiers de prodiguer des soins, c’est une transformation de bon sens. Nous allons la mener.
2:09
61.6K views
169
331
1.3K",,169,331,1.3K,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/EmmanuelMacron/status/1449350217913049092
758,Emmanuel Macron,@EmmanuelMacron,2021-10-16T12:02:55.000Z,"Emmanuel Macron
@EmmanuelMacron
·
Oct 16
Officiel du gouvernement - France","Pour la grande famille des sapeurs-pompiers, nos héros du quotidien, j’ai pris des engagements :
50:39
36.2K viewers
Élysée
@Elysee
EN DIRECT | Clôture par le Président Emmanuel Macron du 127ème Congrès National des Sapeurs-Pompiers de France.
73
149
549",,73,149,549,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/card_img/1467109408836567040/YfJF7F92?format=jpg&name=orig', 'https://pbs.twimg.com/profile_images/1181902227490914304/X21iEaEv_mini.jpg']",https://twitter.com/EmmanuelMacron/status/1449345107585642496
759,Emmanuel Macron,@EmmanuelMacron,2021-10-16T11:36:45.000Z,"Emmanuel Macron
@EmmanuelMacron
·
Oct 16
Officiel du gouvernement - France","Je l'ai dit aux sapeurs-pompiers de France que j'ai rencontrés ce matin, je le dis ici à tous leurs camarades : merci d'être toujours prêts, merci d'être toujours là. La Nation sait ce qu'elle vous doit, à vous qui chaque jour la protégez.
271
452
2.5K",,271,452,2.5K,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/amplify_video_thumb/1449324949710249989/img/hE4EWDfoXoUnjjNY.jpg']",https://twitter.com/EmmanuelMacron/status/1449338520619954177
760,Emmanuel Macron,@EmmanuelMacron,2021-10-16T12:23:14.000Z,"Emmanuel Macron
@EmmanuelMacron
·
Oct 16
Officiel du gouvernement - France","Permettre aux sapeurs-pompiers de prodiguer des soins, c’est une transformation de bon sens. Nous allons la mener.
61.6K views
0:03 / 2:10
169
331
1.3K",,169,331,1.3K,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/EmmanuelMacron/status/1449350217913049092
761,Emmanuel Macron,@EmmanuelMacron,2021-10-16T11:36:45.000Z,"Emmanuel Macron
@EmmanuelMacron
·
Oct 16
Officiel du gouvernement - France","Je l'ai dit aux sapeurs-pompiers de France que j'ai rencontrés ce matin, je le dis ici à tous leurs camarades : merci d'être toujours prêts, merci d'être toujours là. La Nation sait ce qu'elle vous doit, à vous qui chaque jour la protégez.
1:25
78.1K views
271
452
2.5K",,271,452,2.5K,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/EmmanuelMacron/status/1449338520619954177
762,Emmanuel Macron,@EmmanuelMacron,2021-10-18T20:25:40.000Z,"Emmanuel Macron
@EmmanuelMacron
·
Oct 18
Officiel du gouvernement - France","Notre Justice s'est construite dans le dialogue, en Européens. Elle progresse par des textes, comme la Convention européenne des droits de l'homme, fondamentaux pour défendre les droits humains. Cet humanisme nous fait et nous distingue. Nous le défendrons.
908
536
2.3K",,908,536,2.3K,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/EmmanuelMacron/status/1450196403897212939
763,Emmanuel Macron,@EmmanuelMacron,2021-10-18T20:09:22.000Z,"Emmanuel Macron
@EmmanuelMacron
·
Oct 18
Officiel du gouvernement - France","La Justice est un organe essentiel de l'État de droit et de notre démocratie. Il nous faut densifier ce lien entre Justice et Nation. Effectivité, lisibilité, ouverture sur la société : les États Généraux doivent être l'occasion de penser un service public de la Justice moderne.
Emmanuel Macron
@EmmanuelMacron
Officiel du gouvernement - France
 · Oct 18
Avec http://parlonsjustice.fr, dès aujourd’hui, chacune et chacun peut participer aux États Généraux de la Justice en proposant, en débattant, en témoignant. Parlons Justice !
313
273
945",,313,273,945,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/profile_images/1308812357502668812/jSVlszOa_mini.jpg', 'https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig']",https://twitter.com/EmmanuelMacron/status/1450192300223746058
