,Embedded_text,UserName
0,"Avec 
@compaiRENE
, ministre équatorien, nous discutons de sa participation au débat sur le manifeste #écosocialiste.
16
35
14",@JLMelenchon
1,"Hausse de la #TVA, légions d'honneur pour les patrons, acharnement du Parquet contre les cinq de #Roanne : Sarkozy est-il revenu ?
38
122
21",@JLMelenchon
2,"Ma première note de blog de l'année 2014 est en ligne >http://bit.ly/19SzP4b< #Colombie #Farc #Courage
7
31
5",@JLMelenchon
3,"Au siège du 
@LePG
, j'étais ce matin en réunion avec Hamma Hammami, un des leaders du Front populaire de #Tunisie.
10
30
7",@JLMelenchon
4,"Déçu par la décision du tribunal de #Nantes face à #Dieudonné. Mais cette lutte est d'abord politique. Elle continue.
203
99
20",@JLMelenchon
5,"J'ai signé la pétition pour l'annulation de la hausse de la #TVA ! Et vous ? >http://stop-tva.fr
27
57
14",@JLMelenchon
6,"Nouvelle note de blog sur plusieurs sujets >http://bit.ly/1hHzSoa< #Dieudonné #Valls #Equateur #Tunisie #France #Municipales #FDG
24
49
19",@JLMelenchon
7,"Ce lundi à 08h15, je suis l'invité de 
@radioclassique
 et 
@LCI
. L'émission sera live-tweetée par 
@LePG
.
10
34
5",@JLMelenchon
8,"J'étais aujourd'hui l'invité de Radio Classique et LCI >http://bit.ly/1kxIArg< #France #Hollande #Medef #PME #TVA
7
20
2",@JLMelenchon
9,"Ce mercredi à 07h50, je suis l'invité de 
@jmaphatie
 sur #RTL pour réagir à la #ConfPR et parler du #FDG. Live-tweet sur 
@LePG
.
11
38
3",@JLMelenchon
10,"Vite, une large opposition de gauche au Parlement et dans la rue contre ce programme de droite ! (#ConfPR 2/2)
41
149
23",@JLMelenchon
11,"Tromperie assumée : #Hollande et #Gattaz, c'est du sérieux. Que les élus #PS et #Verts rompent les rangs ! (#ConfPR 1/2)
31
134
16",@JLMelenchon
12,"Il faut une #OppositionDeGauche ! - #ConfPR #Hollande -
dailymotion.com
""Il faut une opposition de gauche !"" - J.-L. Mélenchon - Vidéo...
Le 15 janvier 2013, Jean-Luc Mélenchon était l'invité de BFM-TV, en duplex depuis le Parlement européen. Réagissant à la conférence de presse de François Hollande, il a dénoncé les coupes budgétaires...
10
19
5",@JLMelenchon
13,"Faisons naître l'#OppositionDeGauche à la politique social-libérale de ce gouvernement ! - #ConfPR #Hollande -
dailymotion.com
""Faire naître l'opposition de gauche"" - J.-L. Mélenchon - Vidéo...
Le 15 janvier 2013, Jean-Luc Mélenchon était l'invité du 13h00 de France Inter. Réagissant à la conférence de presse de François Hollande, il a déclaré que ce dernier, qui avait promis d'affronter la...
10
43
9",@JLMelenchon
14,"Contre un recul de civilisation en #Espagne. - #IVG -
16
163
39",@JLMelenchon
15,"J'étais ce matin invité sur #RTL pour réagir à la #ConfPR de François #Hollande et parler du #FDG. http://bit.ly/1kBNaEW
15
5",@JLMelenchon
16,"Je réagirai à la #ConfPR de françois #Hollande au 13h00 de 
@franceinter
 puis sur 
@BFMTV
 à 13h45. Live-tweet sur 
@LePG
.
7
33
12",@JLMelenchon
17,"Le futur, ce n'est pas ce qui va arriver : c'est ce que nous allons faire. #VoeuxPG #OppositionDeGauche
16
111
36",@JLMelenchon
18,"Aux #VoeuxPG pour porter la voix de l'#OppositionDeGauche.
6
25
5",@JLMelenchon
19,"#Hollande tout nu (politiquement) - nouvelle note de blog >http://bit.ly/1fAIQUe< #ConfPR #OppositionDeGauche -
9
44
6",@JLMelenchon
