,Embedded_text,UserName
26,"Éric #Zemmour face à 
@gerardlonguet55
  « Les élections majoritaires à deux tours impliquent des alliances au 2e tour. C’est ce que Mitterrand a fait dans les années 70 avec les communistes. Or, la droite RPR, UMP puis LR refuse l’alliance avec le RN. C’est son péché originel »
4
46
100",@ZemmourEric
27," Ce soir dans #Facealinfo retrouvez le face à face Éric #Zemmour vs Alain Madelin pour un debat musclé sur :

 Les démocraties ""illibérales""
 L'État de droit
 Les droits de l'homme

A tout de suite sur 
@CNEWS
  12
49
72",@ZemmourEric
28,"Éric #Zemmour sur 
@CNEWS
 #Marche10Novembre : « La polémique sur l’étoile jaune me surprend. C’est SOS-Racisme qui avait fait l’association avec la déportation avec sa petite main jaune. Ce n’était pas un hasard » #Facealinfo
6
117
259",@ZemmourEric
29,"Éric #Zemmour face à 
@alain_madelin
 sur 
@CNEWS
 : ""Certes, la majorité est potentiellement tyrannique. Mais aujourd’hui, c’est la majorité qui est tyrannisée. Les démocratie illibérale c’est la démocratie d’autrefois : c'est la majorité y gouverne, pas les juges ni les minorités""
4
46
86",@ZemmourEric
30," #Facealinfo c'est maintenant ! Et c'est sur 
@CNEWS
 6
30",@ZemmourEric
31,"Éric #Zemmour face à 
@alain_madelin
 sur 
@CNEWS
 : « En 1989, j’ai été très heureux pour les peuples libérés du joug communiste. Mais comme François Mitterrand, je pense que la réunification de l’Allemagne a été une catastrophe pour la France » #Facealinfo
1
18
38",@ZemmourEric
32,"Éric #Zemmour face à 
@alain_madelin
 sur 
@CNEWS
  : « Vous croyez en une force : celle du marché, des minorités et des juges. Vous imposez cette force à des gens qui la subissent. Et c’est une force qui détruit les identités collectives des individus » #Facealinfo
5
25
43",@ZemmourEric
33,"Éric #Zemmour sur 
@CNEWS
 : « L’université accueille trop d’étudiants qui ne devraient pas l’être. On rentre à l’université sans avoir le niveau. Il faudrait sélectionner davantage et on pourrait alors donner des bourses supplémentaires » #Facealinfo #etudiants
32
298
770",@ZemmourEric
34,"Éric #Zemmour : « Depuis le premier jour, une élite démocrate refuse l'élection de 
@realDonaldTrump
 et estime qu’il est illégitime. Les élites occidentales considèrent que quand le peuple vote mal, son vote n’est pas valable. Il faut donc ""tuer"" Trump avec l’impeachment »
6
97
160",@ZemmourEric
35," Face a Éric #Zemmour ce soir dans #Facealinfo, le sociologue 
@michelmaffesoli
 viendra débattre débattre des mouvements sociaux, du communautarisme et du nomadisme.

A tout de suite sur 
@CNEWS
 5
21
37",@ZemmourEric
